Geography Identifier,geography, total_population_2010, total_90_and_over_2010, total_100_and_over_2010, total_110_and_over_2010, percent_90_and_over_2010, total_population_2000, total_100_and_over_2000, total_110_and_over_2000, total_90_and_over_2000, percent_90_and_over_2000, 
8001,"Adams County, Colorado",441603,1228,29,1,0.3%,363857,27,1,857,0.2%
8003,"Alamosa County, Colorado",15445,73,2,0,0.5%,14966,4,0,72,0.5%
8005,"Arapahoe County, Colorado",572003,2592,63,0,0.5%,487967,58,0,1585,0.3%
8007,"Archuleta County, Colorado",12084,62,1,0,0.5%,9898,1,0,22,0.2%
8009,"Baca County, Colorado",3788,55,1,0,1.5%,4517,1,0,56,1.2%
8011,"Bent County, Colorado",6499,36,3,0,0.6%,5998,1,0,32,0.5%
8013,"Boulder County, Colorado",294567,1493,45,0,0.5%,291288,29,0,1028,0.4%
8014,Broomfield County ,55889,204,3,0,0.4%,,,,,
8015,"Chaffee County, Colorado",17809,125,1,0,0.7%,16242,1,0,86,0.5%
8017,"Cheyenne County, Colorado",1836,30,0,0,1.6%,2231,2,0,24,1.1%
8019,"Clear Creek County, Colorado",9088,23,0,0,0.3%,9322,0,0,16,0.2%
8021,"Conejos County, Colorado",8256,60,0,0,0.7%,8400,3,0,48,0.6%
8023,"Costilla County, Colorado",3524,22,0,0,0.6%,3663,2,0,18,0.5%
8025,"Crowley County, Colorado",5823,26,0,0,0.5%,5518,1,1,24,0.4%
8027,"Custer County, Colorado",4255,9,1,0,0.2%,3503,0,0,11,0.3%
8029,"Delta County, Colorado",30952,281,8,0,0.9%,27834,8,0,247,0.9%
8031,"Denver County, Colorado",600158,3260,76,1,0.5%,554636,96,5,2903,0.5%
8033,"Dolores County, Colorado",2064,18,0,0,0.9%,1844,0,0,7,0.4%
8035,"Douglas County, Colorado",285465,520,16,0,0.2%,175766,5,0,151,0.1%
8037,"Eagle County, Colorado",52197,31,0,0,0.1%,41659,1,0,21,0.1%
8039,"Elbert County, Colorado",23086,60,0,0,0.3%,19872,0,0,33,0.2%
