Geography Identifier,geography, total_population_2010, total_population_under_5_years_all_races_2010, percent_under_5_all_races_2010, total_under_18_all_2010, percent_under_18_2010_all_races, total_65_and_over_2010_all_races, percent_65_and_over_all_races_2010, total_population_black_2010, total_black_under_5_2010, total_black_under_18_2010, total_black_65_and_over_2010, percent_black_under_5_2010, percent_black_under_18_2010, percent_black_65_plus_2010, total_population_asian_2010, total_asian_under_5_2010, total_asian_under_18_2010, total_asian_65_and_over_2010, percent_asian_under_5_2010, percent_asian_under_18_2010, percent_asian_65_plus_2010, total_population_two_or_more_races_2010, total_two_or_more_under_5_2010, total_two_or_more_under_18_2010, total_two_or_more_65_and_over_2010, percent_two_or_more_under_5_2010, percent_two_or_more_under_2010_18_2010, percent_two_or_more_2010_65_plus_2010, total_population_Latino_2010, total_latino_under_5_2010, total_latino_under_18_2010, total_latino_65_and_over_2010, total_latino_under_5_2010, total_latino_under_18_2010, total_latino_65_plus_2010, total_population_white_2010, total_white_under_5_2010, total_white_under_18_2010, total_white_65_and_over_2010, percent_white_under_5_2010, percent_white_under_18_2010, total_white_65_plus_2010, total_population_black_2000, total_black_under_5_2000, total_black_under_18_2000, total_black_65_and_over_2000, percent_under_5_black_2000, percent_5_under_18_black_2000, total_65_and_over_black_2000, total_population_Asian_2000, total_under_5_Asian_2000, total_asian_under_18_2000, total_65_and_over_asian_2000, percent_under_5_asian_2000, percent_under_18_asian_2000, percent_65_plus_asian_2000, total_population_two_or_more_races_2000, total_two_or_more_under_5_total_2000, total_two_or_more_under_18_2000, total_65_and_over_two_or_more_races_2000, percent_two_or_more_under_5_2000, percent_two_or_more_races_under_18_2000, percent_two_or_more_65_plus_2000, total_population_latino_2000, totalunder_5_latino_2000, total_latino_under_18_2000, total_65_and_over_latino_2000, percent_under_5_latino_2000, percent_under_18_latino_2000, percent_65_plus_latino_2000, total_population_white_2000, totalunder_5_white_2000, total_white_under_18_2000, total_65_and_over_white_2000, percent_under_5_white_2000, percent_under_18_white_2000, percent_white_65_plus_2000,
8001,"Adams County, Colorado", 441603,37669,8.5%,126123,28.6%,36862,8.3%,13539,1193,4143,736,8.80%,30.60%,5.40%,15931,1240,4316,1286,7.80%,27.10%,8.10%,17504,2866,8398,589,16.40%,48.00%,3.40%,167878,19026,63493,7198,11.30%,37.80%,4.30%,234970,14916,50378,27249,6.30%,21.40%,11.60%,10818,1094,3920,379,10.10%,36.20%,3.50%,11662,1057,3572,811,9.10%,30.60%,7.00%,12693,2044,12421,407,16.10%,97.90%,3.20%,102585,11942,37133,3686,11.60%,36.20%,3.60%,230500,15545,56091,23172,6.70%,24.30%,10.10%
8003,"Alamosa County, Colorado",    15445,1201,7.8%,3828,24.8%,1752,11.3%,172,10,30,4,5.80%,17.40%,2.30%,148,3,26,12,2.00%,17.60%,8.10%,675,89,256,51,13.20%,37.90%,7.60%,7110,744,2214,588,10.50%,31.10%,8.30%,7667,414,1464,1131,5.40%,19.10%,14.80%,145,9,34,4,6.20%,23.40%,2.80%,122,7,32,15,5.70%,26.20%,12.30%,623,70,566,25,11.20%,90.90%,4.00%,6197,572,2095,457,9.20%,33.80%,7.40%,8089,419,1777,949,5.20%,22.00%,11.70%
8005,"Arapahoe County, Colorado",   572003,40695,7.1%,147324,25.8%,57580,10.1%,58107,4874,17549,3210,8.40%,30.20%,5.50%,29077,1776,7285,2417,6.10%,25.10%,8.30%,24357,4122,12866,519,16.90%,52.80%,2.10%,105522,12516,40461,3278,11.90%,38.30%,3.10%,361747,18986,73687,48133,5.20%,20.40%,13.30%,37428,3208,12000,1312,8.60%,32.10%,3.50%,19259,1323,5036,1197,6.90%,26.10%,6.20%,15411,2657,15265,365,17.20%,99.10%,2.40%,57612,7000,20734,1423,12.20%,36.00%,2.50%,360744,20355,86872,37625,5.60%,24.10%,10.40%
8007,"Archuleta County, Colorado",    12084,598,4.9%,2408,19.9%,2116,17.5%,37,5,18,3,13.50%,48.60%,8.10%,89,4,20,10,4.50%,22.50%,11.20%,341,40,150,19,11.70%,44.00%,5.60%,2148,190,682,203,8.80%,31.80%,9.50%,9446,366,1561,1873,3.90%,16.50%,19.80%,35,2,21,1,5.70%,60.00%,2.90%,31,7,9,2,22.60%,29.00%,6.50%,257,36,255,17,14.00%,99.20%,6.60%,1659,150,577,149,9.00%,34.80%,9.00%,7927,353,1825,1003,4.50%,23.00%,12.70%
8009,"Baca County, Colorado",     3788,213,5.6%,814,21.5%,911,24.0%,24,2,9,1,8.30%,37.50%,4.20%,6,0,0,0,0.00%,0.00%,0.00%,59,9,25,6,15.30%,42.40%,10.20%,348,40,139,26,11.50%,39.90%,7.50%,3323,163,644,871,4.90%,19.40%,26.20%,2,0,0,0,0.00%,0.00%,0.00%,7,0,0,2,0.00%,0.00%,28.60%,81,13,73,6,16.00%,90.10%,7.40%,317,38,123,29,12.00%,38.80%,9.10%,4084,218,951,971,5.30%,23.30%,23.80%
8011,"Bent County, Colorado",     6499,287,4.4%,1096,16.9%,888,13.7%,496,2,10,11,0.40%,2.00%,2.20%,62,1,12,3,1.60%,19.40%,4.80%,126,16,46,17,12.70%,36.50%,13.50%,1985,114,448,170,5.70%,22.60%,8.60%,3832,160,602,686,4.20%,15.70%,17.90%,219,5,11,9,2.30%,5.00%,4.10%,34,1,3,8,2.90%,8.80%,23.50%,226,31,211,22,13.70%,93.40%,9.70%,1814,150,574,186,8.30%,31.60%,10.30%,3794,194,797,740,5.10%,21.00%,19.50%
8013,"Boulder County, Colorado",   294567,16499,5.6%,62754,21.3%,29521,10.0%,2532,146,571,145,5.80%,22.60%,5.70%,12133,717,2682,623,5.90%,22.10%,5.10%,7881,1122,3547,197,14.20%,45.00%,2.50%,39276,4191,14100,1535,10.70%,35.90%,3.90%,233741,10612,42611,26999,4.50%,18.20%,11.60%,2559,181,625,95,7.10%,24.40%,3.70%,8915,685,2071,327,7.70%,23.20%,3.70%,6351,849,5828,172,13.40%,91.80%,2.70%,30456,3423,10729,854,11.20%,35.20%,2.80%,243512,12619,51342,21225,5.20%,21.10%,8.70%
8014,"Broomfield County, Colorado",    55889,3944,7.1%,14652,26.2%,5508,9.9%,587,35,172,34,6.00%,29.30%,5.80%,3407,240,960,199,7.00%,28.20%,5.80%,1569,294,872,36,18.70%,55.60%,2.30%,6216,624,2378,242,10.00%,38.30%,3.90%,44358,2829,10508,4994,6.40%,23.70%,11.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
8015,"Chaffee County, Colorado",    17809,764,4.3%,2988,16.8%,3523,19.8%,275,3,11,3,1.10%,4.00%,1.10%,106,6,21,10,5.70%,19.80%,9.40%,284,32,108,22,11.30%,38.00%,7.70%,1678,97,341,160,5.80%,20.30%,9.50%,15417,636,2524,3329,4.10%,16.40%,21.60%,257,0,1,3,0.00%,0.40%,1.20%,71,2,20,1,2.80%,28.20%,1.40%,274,31,250,20,11.30%,91.20%,7.30%,1393,59,273,138,4.20%,19.60%,9.90%,14174,637,2804,2598,4.50%,19.80%,18.30%
8017,"Cheyenne County, Colorado",     1836,130,7.1%,450,24.5%,328,17.9%,7,0,3,0,0.00%,42.90%,0.00%,11,1,5,0,9.10%,45.50%,0.00%,18,6,8,2,33.30%,44.40%,11.10%,178,26,74,4,14.60%,41.60%,2.20%,1617,98,361,321,6.10%,22.30%,19.90%,11,3,6,1,27.30%,54.50%,9.10%,3,0,2,0,0.00%,66.70%,0.00%,14,1,9,2,7.10%,64.30%,14.30%,181,29,88,4,16.00%,48.60%,2.20%,2018,110,539,363,5.50%,26.70%,18.00%
8019,"Clear Creek County, Colorado",     9088,447,4.9%,1571,17.3%,1132,12.5%,56,3,10,5,5.40%,17.90%,8.90%,51,3,10,4,5.90%,19.60%,7.80%,156,25,64,5,16.00%,41.00%,3.20%,429,35,121,27,8.20%,28.20%,6.30%,8371,381,1368,1088,4.60%,16.30%,13.00%,26,2,6,0,7.70%,23.10%,0.00%,34,2,6,5,5.90%,17.60%,14.70%,112,19,102,3,17.00%,91.10%,2.70%,361,27,113,11,7.50%,31.30%,3.00%,8759,478,1920,639,5.50%,21.90%,7.30%
8021,"Conejos County, Colorado",     8256,650,7.9%,2336,28.3%,1254,15.2%,27,0,6,2,0.00%,22.20%,7.40%,23,1,8,4,4.30%,34.80%,17.40%,337,35,109,50,10.40%,32.30%,14.80%,4620,356,1304,697,7.70%,28.20%,15.10%,3451,281,971,537,8.10%,28.10%,15.60%,18,2,13,0,11.10%,72.20%,0.00%,13,0,3,2,0.00%,23.10%,15.40%,303,38,282,30,12.50%,93.10%,9.90%,4949,392,1622,712,7.90%,32.80%,14.40%,3298,251,1006,530,7.60%,30.50%,16.10%
8023,"Costilla County, Colorado",     3524,175,5.0%,736,20.9%,807,22.9%,24,5,6,7,20.80%,25.00%,29.20%,34,0,2,10,0.00%,5.90%,29.40%,153,10,53,20,6.50%,34.60%,13.10%,2327,146,583,471,6.30%,25.10%,20.20%,1086,27,130,310,2.50%,12.00%,28.50%,29,1,6,5,3.40%,20.70%,17.20%,37,0,9,11,0.00%,24.30%,29.70%,191,14,147,30,7.30%,77.00%,15.70%,2476,146,678,393,5.90%,27.40%,15.90%,1033,49,194,200,4.70%,18.80%,19.40%
8025,"Crowley County, Colorado",     5823,182,3.1%,789,13.5%,614,10.5%,559,0,3,3,0.00%,0.50%,0.50%,59,0,0,10,0.00%,0.00%,16.90%,101,12,48,4,11.90%,47.50%,4.00%,1686,68,264,87,4.00%,15.70%,5.20%,3369,109,499,503,3.20%,14.80%,14.90%,389,0,5,1,0.00%,1.30%,0.30%,45,0,0,7,0.00%,0.00%,15.60%,100,11,97,7,11.00%,97.00%,7.00%,1244,63,299,86,5.10%,24.00%,6.90%,3671,169,689,492,4.60%,18.80%,13.40%
8027,"Custer County, Colorado",     4255,136,3.2%,730,17.2%,954,22.4%,44,0,7,3,0.00%,15.90%,6.80%,16,1,4,1,6.30%,25.00%,6.30%,71,1,19,6,1.40%,26.80%,8.50%,200,7,48,20,3.50%,24.00%,10.00%,3914,127,653,919,3.20%,16.70%,23.50%,13,2,5,1,15.40%,38.50%,7.70%,10,2,3,0,20.00%,30.00%,0.00%,57,6,48,7,10.50%,84.20%,12.30%,88,7,25,13,8.00%,28.40%,14.80%,3299,177,720,493,5.40%,21.80%,14.90%
8029,"Delta County, Colorado",    30952,1752,5.7%,6851,22.1%,6239,20.2%,160,2,21,5,1.30%,13.10%,3.10%,160,6,37,18,3.80%,23.10%,11.30%,699,82,286,59,11.70%,40.90%,8.40%,4345,426,1568,297,9.80%,36.10%,6.80%,25685,1260,5022,5856,4.90%,19.60%,22.80%,146,4,13,2,2.70%,8.90%,1.40%,89,9,25,14,10.10%,28.10%,15.70%,509,53,461,47,10.40%,90.60%,9.20%,3171,322,1112,234,10.20%,35.10%,7.40%,23945,1240,5400,5177,5.20%,22.60%,21.60%
