Geography Identifier,Geography,total_households_2010, total_householder_living_alone_2010, percent_living_alone_2010, total_white_households_2010, total_white_living_alone_2010, percent_white_alone_2010, total_latino_households_2010, total_latino_living_alone_2010, percent_latino_alone_2010, total_black_households_2010, total_black_householder_living_alone_2010, percent_black_living_alone_2010, total_asian_households_2010, total_householder_living_alone_2010, percent_asian_living_alone_2010, total_households_two_or_more_races_2010, total_two_or_more_householder_living_alone_2010, percent_two_or_more_living_alone_2010, total_households_2000, total_householder_living_alone_2000, percent_living_alone_2000, total_black_households_2000, total_black_households_living_alone_2000, percent_black_living_alone_2000, total_asian_households_2000, total_asian_households_living_alone_2000, percent_asian_living_alone_2000, total_two_or_more_households_2000, total_two_or_more_living_alone_2000, total_percent_two_or_more_living_alone_2000, total_latino_households_2000, total_latino_households_living_alone_2000, percent_latino_living_alone_2000, total_white_households_2000, total_white_alone_2000, percent_white_living_alone_2000
08001,Adams County,153764,34239,22%,97383,25598,26%,44507,5965,13%,4753,1291,27%,4531,737,16%,4132,788,19%,128156,27211,21%,3740,933,25%,3058,423,14%,3060,481,16%,27107,3129,12%,91801,22224,24%
08003,Alamosa County,5995,1812,30%,3323,1070,32%,2452,672,27%,61,20,33%,51,9,18%,212,74,35%,5467,1491,27%,33,7,21%,37,12,32%,182,42,23%,2052,486,24%,3216,955,30%
08005,Arapahoe County,224011,62651,28%,159042,48318,30%,28701,4597,16%,22323,6650,30%,9341,1833,20%,5591,1332,24%,190909,51462,27%,14569,4131,28%,5970,1112,19%,3905,980,25%,15753,2511,16%,150917,42709,28%
08007,Archuleta County,5267,1408,27%,4371,1187,27%,734,173,24%,12,4,33%,24,5,21%,95,33,35%,3980,878,22%,7,0,0%,8,2,25%,74,14,19%,564,127,23%,3298,722,22%
08009,Baca County,1685,590,35%,1535,541,35%,100,30,30%,9,3,33%,2,1,50%,18,5,28%,1905,579,30%,1,1,100%,3,1,33%,28,3,11%,90,14,16%,1767,550,31%
08011,Bent County,1832,586,32%,1305,418,32%,476,146,31%,6,3,50%,14,6,43%,40,16,40%,2003,544,27%,7,2,29%,7,1,14%,66,13,20%,520,109,21%,1426,425,30%
08013,Boulder County,119300,34621,29%,101717,30959,30%,10577,1674,16%,968,345,36%,4102,1008,25%,1969,584,30%,114680,30138,26%,938,286,30%,2963,747,25%,1735,426,25%,7846,1081,14%,101085,27534,27%
08014,Broomfield County,21414,5123,24%,18098,4553,25%,1722,282,16%,219,70,32%,1037,151,15%,333,58,17%,,,,,,,,,,,,,,,,,,
08015,Chaffee County,7601,2287,30%,7023,2132,30%,432,121,28%,8,2,25%,28,7,25%,84,16,19%,6584,1869,28%,7,5,71%,16,7,44%,96,24,25%,350,96,27%,6089,1736,29%
08017,Cheyenne County,786,266,34%,732,258,35%,43,5,12%,1,0,0%,3,2,67%,4,1,25%,880,255,29%,2,0,0%,0,0,0,4,2,50%,40,4,10%,831,248,30%
