Geography Identifier,geography, median_age_all_races_2010, median_age_black_2010, median_age_asian_2010, median_age_two_or_more_races_2010, median_age_latino_2010, median_age_white_2010, med_age_all_races_2000, median_age_black_2000, median_age_asian_2000, median_age_two_or_more_races_2000, median_age_latino_2000, median_age_white_2000, change_in_median_age_all_races_2000, rate_of_change_in_median_age_all_races,     
8001,"Adams County, Colorado",32.4,30.9,32.5,19.1,25.7,34.8,31.4,27.6,29.4,20,24.7,35.6,3.2%,57
8003,"Alamosa County, Colorado",32.9,24,36,21.6,27.7,36,30.6,21.2,35.5,21.1,26.7,35.2,7.5%,41
8005,"Arapahoe County, Colorado",35.7,31.4,35.9,16.9,25.3,39,34.5,29.5,32.8,18.4,24.7,37.7,3.5%,54
8007,"Archuleta County, Colorado",48.4,25.5,42.4,23.8,31.6,50.4,40.8,16.3,40.5,19.5,29.8,42.6,18.6%,6
8009,"Baca County, Colorado",47.4,23.5,48.5,19.8,24.9,48.8,42.9,47,51.5,24.5,24.8,44.4,10.5%,28
8011,"Bent County, Colorado",39.8,37.5,37,24.5,32.6,41.1,37.3,34.7,43,23.3,30.3,41.1,6.7%,48
8013,"Boulder County, Colorado",35.8,31.1,31.8,19.7,25.1,37.6,33.4,29.1,28.9,21.2,24.2,35.5,7.2%,45
8014,Broomfield County ,36.4,32.5,33.8,15.5,26,37.8,,,,,,,#DIV/0!,
8015,"Chaffee County, Colorado",47.4,31.1,37.7,28,32.9,48.5,41.8,29.4,28.8,28.8,30.7,43.4,13.4%,19
8017,"Cheyenne County, Colorado",42.7,34.5,27.5,25,23.5,44.4,37.9,13.5,17.5,29,18.6,39.5,12.7%,23
8019,"Clear Creek County, Colorado",46.6,38,35.8,28,36.3,47,40.2,42,45,24.5,29.8,40.6,15.9%,14
8021,"Conejos County, Colorado",38.2,34.5,26.5,34.8,38.7,38.2,34.2,13,36.5,23.5,33.6,35.7,11.7%,25
8023,"Costilla County, Colorado",49,27,60.3,37.8,43.4,51.6,42.1,44.5,45.5,40.3,38.9,47,16.4%,13
8025,"Crowley County, Colorado",38.9,37.6,37.3,19.2,33.1,40,36.6,35.1,35.5,17,32.5,38.5,6.3%,49
8027,"Custer County, Colorado",53.3,34.7,41.5,48.3,37.4,53.7,44.9,48.3,38,20.9,43.5,45.1,18.7%,5
8029,"Delta County, Colorado",45.6,34.3,40,24.8,27.1,47.7,42.3,33.8,40.5,28.8,27.2,44.6,7.8%,39
8031,"Denver County, Colorado",33.7,35.3,32.4,23.9,27.3,35.5,33.1,33.2,29.7,24.6,25.6,39,1.8%,58
8033,"Dolores County, Colorado",44.7,39,40,14,27.3,45.7,42.4,47.5,32.5,18.8,36.5,43,5.4%,52
8035,"Douglas County, Colorado",36.6,35.9,34.9,14.8,26.9,37.4,33.7,34.3,32.6,15.1,27.9,34.2,8.6%,34
8037,"Eagle County, Colorado",34,32.6,33.5,25.5,26.4,35.7,31.2,27.1,30.8,26.7,25,33.7,9.0%,33
8039,"Elbert County, Colorado",43.8,44.2,41.9,17.3,31.9,44.2,37.2,36.4,37,18.2,26.8,37.6,17.7%,9
8041,"El Paso County, Colorado",34.1,29.9,36.8,16.6,24.5,36.7,33,27.3,33.6,17.1,24.3,35.6,3.3%,55
8043,"Fremont County, Colorado",43.6,36.9,38,26.5,32.8,45,38.8,33.6,31,30.3,32.3,40.6,12.4%,24
8045,"Garfield County, Colorado",34.5,29.5,34.8,22.9,24.4,37.3,34.2,27.6,33.3,23.4,23.9,37.5,0.9%,61
8047,"Gilpin County, Colorado",45.6,38.5,41.8,34.5,33.8,46,38.3,48.8,35.5,31.5,33,38.6,19.1%,4
8049,"Grand County, Colorado",41.2,30.5,35.1,21.5,26.3,42.5,36.9,27,30.1,28.3,25.6,37.7,11.7%,26
8051,"Gunnison County, Colorado",34.3,21.9,34.5,21.3,25.4,35.5,30.4,22.9,28.2,21.1,23.3,31,12.8%,22
8053,"Hinsdale County, Colorado",47.1,14.5,41.5,20.5,35.5,48.6,43.9,0,37,37,24,44.2,7.3%,44
8055,"Huerfano County, Colorado",51.8,45.5,43.5,40.5,43,53.7,41.7,32.5,40.3,30.3,35.5,45.9,24.2%,1
8057,"Jackson County, Colorado",47.3,0,57.5,29,24,48.5,40.5,30,40.5,40,16.8,42,16.8%,12
8059,"Jefferson County, Colorado",40.4,32.1,35.2,19.4,27.7,42.1,36.8,30.5,31.2,19.9,26.2,38.4,9.8%,31
8061,"Kiowa County, Colorado",47.4,12,0,22.8,19.5,47.8,39.7,12,0,31.3,28.8,40.6,19.4%,2
8063,"Kit Carson County, Colorado",39.7,35.3,30.5,26.8,26.8,41.9,37.4,35.1,20.5,17.9,24.9,40.1,6.1%,50
8065,"Lake County, Colorado",35,40.8,37.5,23.3,24.7,37.4,30.5,18.5,25.5,23.1,23.9,36.2,14.8%,17
8067,"La Plata County, Colorado",38.4,28.7,33.6,21.8,27.9,40.6,35.6,26,25.9,20.4,27.5,37.8,7.9%,38
8069,"Larimer County, Colorado",35.5,24.7,31.6,19.7,24.5,37,33.2,24.2,29.1,20,23.9,35,6.9%,47
8071,"Las Animas County, Colorado",43.9,29.8,32.5,29.3,36,45.8,40.9,21.9,36.5,30.6,36.1,44.2,7.3%,43
8073,"Lincoln County, Colorado",40.9,35.7,32.3,19,30.1,42.3,37.8,36.4,29.7,16.8,29.3,39.4,8.2%,37
