Geography Identifier,geography, households_all_races_2010, household_has_three_or_more_generations_all_races_2010, percent_multigenerational_households_all_races_2010, black_households_2010, black_household_has_three_or_more_generations_2010, black_percent_multigenerational_households_2010, asian_households_2010, asian_household_has_three_or_more_generations_2010, asian_percent_multigenerational_households_2010, two_or_more_races_households_2010, two_or_more_household_has_three_or_more_generations_2010, two_or_more_percent_multigenerational_households_2010, latino_households_2010, latino_household_has_three_or_more_generations_2010, latino_percent_multigenerational_households_2010, white_households_2010, white_household_has_three_or_more_generations_2010, white_percent_multigenerational_households_2010, 
8001,"Adams County, Colorado",153764,9146,5.95%,4753,275,5.79%,4531,485,10.70%,4132,345,8.35%,44507,4658,10.47%,121282,6021,4.96%
8003,"Alamosa County, Colorado",5995,197,3.29%,61,0,0.00%,51,4,7.84%,212,3,1.42%,2452,123,5.02%,4640,145,3.13%
8005,"Arapahoe County, Colorado",224011,8166,3.65%,22323,1238,5.55%,9341,695,7.44%,5591,310,5.54%,28701,2205,7.68%,174179,4898,2.81%
8007,"Archuleta County, Colorado",5267,101,1.92%,12,0,0.00%,24,3,12.50%,95,0,0.00%,734,40,5.45%,4735,75,1.58%
8009,"Baca County, Colorado",1685,20,1.19%,9,0,0.00%,2,0,0.00%,18,0,0.00%,100,3,3.00%,1583,19,1.20%
8011,"Bent County, Colorado",1832,58,3.17%,6,0,0.00%,14,0,0.00%,40,1,2.50%,476,34,7.14%,1586,46,2.90%
8013,"Boulder County, Colorado",119300,2346,1.97%,968,23,2.38%,4102,161,3.92%,1969,59,3.00%,10577,862,8.15%,108156,1737,1.61%
8014,"Broomfield County, Colorado",21414,617,2.88%,219,5,2.28%,1037,77,7.43%,333,14,4.20%,1722,103,5.98%,19202,487,2.54%
8015,"Chaffee County, Colorado",7601,107,1.41%,8,0,0.00%,28,2,7.14%,84,6,7.14%,432,14,3.24%,7311,96,1.31%
8017,"Cheyenne County, Colorado",786,14,1.78%,1,1,100.00%,3,1,33.33%,4,0,0.00%,43,1,2.33%,757,11,1.45%
8019,"Clear Creek County, Colorado",4208,61,1.45%,20,0,0.00%,21,0,0.00%,42,2,4.76%,129,2,1.55%,4068,57,1.40%
8021,"Conejos County, Colorado",3118,128,4.11%,10,0,0.00%,6,0,0.00%,125,9,7.20%,1774,94,5.30%,2366,81,3.42%
8023,"Costilla County, Colorado",1550,75,4.84%,10,0,0.00%,22,0,0.00%,53,1,1.89%,945,59,6.24%,1100,49,4.45%
8025,"Crowley County, Colorado",1306,48,3.68%,4,0,0.00%,8,0,0.00%,25,1,4.00%,238,23,9.66%,1173,41,3.50%
8027,"Custer County, Colorado",1925,35,1.82%,8,0,0.00%,2,0,0.00%,33,2,6.06%,52,4,7.69%,1856,31,1.67%
8029,"Delta County, Colorado",12703,350,2.76%,22,0,0.00%,40,1,2.50%,211,12,5.69%,1240,75,6.05%,11788,297,2.52%
8031,"Denver County, Colorado",263107,8821,3.35%,25311,1383,5.46%,7793,381,4.89%,7776,373,4.80%,55828,5325,9.54%,198903,4332,2.18%
8033,"Dolores County, Colorado",899,19,2.11%,4,0,0.00%,1,1,100.00%,4,0,0.00%,22,0,0.00%,864,17,1.97%
8035,"Douglas County, Colorado",102018,2430,2.38%,1298,44,3.39%,3227,203,6.29%,1400,51,3.64%,5606,282,5.03%,94284,2019,2.14%
8037,"Eagle County, Colorado",19236,493,2.56%,128,5,3.91%,158,1,0.63%,297,19,6.40%,3715,338,9.10%,17075,315,1.84%
8039,"Elbert County, Colorado",8380,314,3.75%,52,4,7.69%,50,0,0.00%,95,5,5.26%,299,21,7.02%,8053,299,3.71%
8041,"El Paso County, Colorado",235959,7730,3.28%,14486,698,4.82%,5375,277,5.15%,6914,325,4.70%,26627,1597,6.00%,197028,5634,2.86%
8043,"Fremont County, Colorado",16582,432,2.61%,41,1,2.44%,46,0,0.00%,272,11,4.04%,1005,35,3.48%,15806,404,2.56%
8045,"Garfield County, Colorado",20359,654,3.21%,102,5,4.90%,103,8,7.77%,382,19,4.97%,3798,314,8.27%,17889,463,2.59%
8047,"Gilpin County, Colorado",2460,40,1.63%,11,0,0.00%,25,0,0.00%,35,0,0.00%,82,1,1.22%,2360,40,1.69%
8049,"Grand County, Colorado",6469,66,1.02%,23,0,0.00%,37,0,0.00%,62,2,3.23%,302,9,2.98%,6189,58,0.94%
8051,"Gunnison County, Colorado",6516,53,0.81%,17,0,0.00%,30,1,3.33%,94,0,0.00%,375,6,1.60%,6157,46,0.75%
8053,"Hinsdale County, Colorado",362,7,1.93%,0,0,0,1,0,0.00%,6,0,0.00%,5,1,20.00%,352,7,1.99%
