Geography Identifier,geography, total_households_2010, unmarried_households_all_2010, percent_all_unmarried_2010, male_and_male_2010, males_with_kids_2010, female_and_female_2010, females_with_kids_2010, opposite_sex_2010, opposite_sex_with_kids_2010, percent_opposite_sex_with_kids_2010, same_sex_total_2010, same_sex_with_kids_2010, percent_same_sex_with_kids_2010, same_sex_per_1000_households_2010, total_households_2010, unmarried_households_all_2000, percent_unmarried_all_2000, male_and_male_2000, male_householder_and_female_partner_2000, female_and_female_2000, female_householder_and_male_partner_2000, same_sex_partners_2000, opposite_sex_partners_2000, same_sex_per_1000_households_2000, percent_change_in_number_of_same_sex_2000_to_2010,
8001,"Adams County, Colorado",153764,11998,7.80%,505,115,755,263,10738,4921,45.80%,1260,378,30.00%,8.2,128156,8254,6.40%,325,4211,434,3284,759,7495,5.92246949,66.00%
8003,"Alamosa County, Colorado",5995,383,6.40%,11,3,29,10,343,162,47.20%,40,13,32.50%,6.7,5467,276,5.00%,3,143,11,119,14,262,2.560819462,185.70%
8005,"Arapahoe County, Colorado",224011,13955,6.20%,723,142,946,294,12286,4548,37.00%,1669,436,26.10%,7.5,190909,10139,5.30%,426,4839,569,4305,995,9144,5.211907244,67.70%
8007,"Archuleta County, Colorado",5267,317,6.00%,13,2,33,8,271,92,33.90%,46,10,21.70%,8.7,3980,198,5.00%,6,113,15,64,21,177,5.27638191,119.00%
8009,"Baca County, Colorado",1685,67,4.00%,1,0,4,2,62,24,38.70%,5,2,40.00%,3,1905,56,2.90%,1,28,1,26,2,54,1.049868766,150.00%
8011,"Bent County, Colorado",1832,101,5.50%,4,1,5,1,92,47,51.10%,9,2,22.20%,4.9,2003,85,4.20%,2,49,3,31,5,80,2.496255617,80.00%
8013,"Boulder County, Colorado",119300,7911,6.60%,361,69,737,172,6813,1430,21.00%,1098,241,21.90%,9.2,114680,6923,6.00%,279,3259,537,2848,816,6107,7.115451692,34.60%
8014,"Broomfield County, Colorado",21414,1160,5.40%,69,9,107,26,984,243,24.70%,176,35,19.90%,8.2,,,,,,,,,,,
8015,"Chaffee County, Colorado",7601,439,5.80%,12,1,19,4,408,108,26.50%,31,5,16.10%,4.1,6584,273,4.10%,14,140,15,104,29,244,4.404617254,6.90%
8017,"Cheyenne County, Colorado",786,30,3.80%,0,0,3,1,27,15,55.60%,3,1,33.30%,3.8,880,18,2.00%,0,14,0,4,0,18,0,0
8019,"Clear Creek County, Colorado",4208,264,6.30%,15,1,20,6,229,45,19.70%,35,7,20.00%,8.3,4019,226,5.60%,11,120,8,87,19,207,4.727544165,84.20%
8021,"Conejos County, Colorado",3118,140,4.50%,5,0,10,2,125,64,51.20%,15,2,13.30%,4.8,2980,117,3.90%,1,60,11,45,12,105,4.026845638,25.00%
8023,"Costilla County, Colorado",1550,90,5.80%,2,1,4,1,84,44,52.40%,6,2,33.30%,3.9,1503,66,4.40%,3,32,2,29,5,61,3.326679973,20.00%
8025,"Crowley County, Colorado",1306,50,3.80%,2,1,6,0,42,16,38.10%,8,1,12.50%,6.1,1358,68,5.00%,2,30,5,31,7,61,5.154639175,14.30%
8027,"Custer County, Colorado",1925,66,3.40%,7,2,8,0,51,12,23.50%,15,2,13.30%,7.8,1480,47,3.20%,2,24,3,18,5,42,3.378378378,200.00%
8029,"Delta County, Colorado",12703,629,5.00%,24,7,42,13,563,223,39.60%,66,20,30.30%,5.2,11058,400,3.60%,13,207,17,163,30,370,2.712967987,120.00%
8031,"Denver County, Colorado",263107,21794,8.30%,2358,201,1694,365,17742,4456,25.10%,4052,566,14.00%,15.4,239235,15737,6.60%,1698,6494,1218,6327,2916,12821,12.18885197,39.00%
8033,"Dolores County, Colorado",899,45,5.00%,4,1,1,1,40,20,50.00%,5,2,40.00%,5.6,785,31,3.90%,3,14,0,14,3,28,3.821656051,66.70%
8035,"Douglas County, Colorado",102018,4403,4.30%,231,64,358,99,3814,1110,29.10%,589,163,27.70%,5.8,60924,2356,3.90%,113,1226,159,858,272,2084,4.46457882,116.50%
8037,"Eagle County, Colorado",19236,1352,7.00%,64,20,54,15,1234,262,21.20%,118,35,29.70%,6.1,15148,1040,6.90%,43,518,24,455,67,973,4.423026142,76.10%
8039,"Elbert County, Colorado",8380,374,4.50%,15,3,50,15,309,84,27.20%,65,18,27.70%,7.8,6770,271,4.00%,18,133,23,97,41,230,6.056129985,58.50%
